iter	Passed	Remaining
0	0	374
1	0	313
2	0	293
3	1	276
4	1	266
5	1	258
6	1	252
7	1	247
8	2	245
9	2	242
10	2	242
11	2	243
12	3	247
13	3	245
14	3	241
15	3	240
16	4	238
17	4	238
18	4	236
19	4	235
20	5	234
21	5	232
22	5	231
23	5	230
24	5	229
25	6	228
26	6	228
27	6	226
28	6	225
29	6	225
30	7	224
31	7	223
32	7	222
33	7	221
34	8	220
35	8	220
36	8	220
37	8	220
38	8	220
39	9	219
40	9	218
41	9	217
42	9	217
43	9	217
44	10	216
45	10	215
46	10	215
47	10	215
48	11	215
49	11	215
50	11	215
51	11	215
52	12	214
53	12	214
54	12	213
55	12	213
56	12	213
57	13	213
58	13	212
59	13	212
60	13	212
61	14	212
62	14	211
63	14	211
64	14	211
65	14	211
66	15	211
67	15	211
68	15	210
69	15	211
70	16	210
71	16	210
72	16	210
73	16	211
74	17	210
75	17	210
76	17	210
77	17	209
78	17	209
79	18	209
80	18	209
81	18	209
82	18	207
83	19	207
84	19	207
85	19	206
86	19	206
87	19	206
88	20	205
89	20	205
90	20	205
91	20	205
92	20	204
93	21	204
94	21	203
95	21	203
96	21	203
97	22	202
98	22	202
99	22	202
100	22	202
101	22	201
102	23	201
103	23	201
104	23	200
105	23	200
106	24	200
107	24	200
108	24	199
109	25	204
110	25	204
111	25	204
112	25	203
113	26	203
114	26	203
115	26	203
116	26	202
117	27	201
118	27	201
119	27	201
120	27	200
121	27	199
122	27	198
123	28	198
124	28	198
125	28	197
126	28	196
127	28	196
128	29	196
129	29	195
130	29	195
131	29	194
132	29	194
133	30	194
134	30	193
135	30	193
136	30	192
137	30	192
138	30	191
139	31	191
140	31	191
141	31	190
142	31	189
143	31	189
144	32	188
145	32	188
146	32	187
147	32	188
148	32	187
149	33	187
150	33	187
151	33	186
152	33	186
153	33	186
154	34	186
155	34	185
156	34	185
157	34	185
158	34	184
159	35	184
160	35	183
161	35	183
162	35	183
163	35	182
164	36	182
165	36	182
166	36	181
167	36	181
168	36	181
169	37	181
170	37	180
171	37	180
172	37	180
173	37	180
174	38	179
175	38	179
176	38	179
177	38	178
178	38	178
179	39	178
180	39	178
181	39	177
182	39	177
183	39	177
184	40	176
185	40	176
186	40	176
187	40	176
188	40	175
189	41	175
190	41	175
191	41	175
192	41	174
193	42	174
194	42	174
195	42	174
196	42	173
197	42	173
198	43	173
199	43	173
200	43	172
201	43	172
202	43	172
203	44	171
204	44	171
205	44	171
206	44	171
207	44	170
208	45	170
209	45	170
210	45	170
211	45	169
212	45	169
213	46	169
214	46	169
215	46	168
216	46	168
217	46	168
218	47	167
219	47	167
220	47	167
221	47	167
222	47	167
223	48	166
224	48	166
225	48	166
226	48	166
227	49	165
228	49	165
229	49	165
230	49	165
231	49	164
232	49	164
233	50	164
234	50	164
235	50	163
236	50	163
237	51	163
238	51	163
239	51	162
240	51	162
241	51	162
242	51	161
243	52	161
244	52	161
245	52	161
246	52	160
247	52	160
248	53	160
249	53	160
250	53	159
251	53	159
252	54	159
253	54	159
254	54	158
255	54	158
256	54	158
257	55	158
258	55	158
259	55	157
260	55	157
261	55	157
262	56	157
263	56	156
264	56	156
265	56	156
266	56	156
267	57	155
268	57	155
269	57	155
270	57	155
271	57	155
272	58	154
273	58	154
274	58	154
275	58	154
276	59	154
277	59	153
278	59	153
279	59	153
280	59	153
281	60	153
282	60	152
283	60	152
284	60	152
285	61	152
286	61	152
287	61	152
288	61	151
289	61	151
290	62	151
291	62	151
292	62	150
293	62	150
294	62	150
295	63	150
296	63	150
297	63	149
298	63	149
299	64	149
300	64	149
301	64	149
302	64	148
303	64	148
304	65	148
305	65	148
306	65	147
307	65	147
308	65	147
309	66	147
310	66	147
311	66	146
312	66	146
313	67	146
314	67	146
315	67	145
316	67	145
317	67	145
318	68	145
319	68	145
320	68	144
321	68	144
322	68	144
323	69	144
324	69	143
325	69	143
326	69	143
327	69	143
328	70	142
329	70	142
330	70	142
331	70	142
332	70	141
333	71	141
334	71	141
335	71	141
336	71	141
337	71	140
338	72	140
339	72	140
340	72	140
341	72	139
342	72	139
343	73	139
344	73	139
345	73	139
346	73	139
347	74	138
348	74	138
349	74	138
350	74	138
351	74	137
352	75	137
353	75	137
354	75	137
355	75	137
356	75	136
357	76	136
358	76	136
359	76	136
360	77	136
361	77	136
362	77	136
363	77	136
364	78	135
365	78	135
366	78	135
367	78	135
368	78	134
369	79	134
370	79	134
371	79	134
372	79	134
373	80	134
374	80	133
375	80	133
376	80	133
377	80	133
378	81	132
379	81	132
380	81	132
381	81	132
382	82	132
383	82	131
384	82	131
385	82	131
386	82	131
387	83	131
388	83	130
389	83	130
390	83	130
391	84	130
392	84	130
393	84	129
394	84	129
395	84	129
396	85	129
397	85	129
398	85	128
399	85	128
400	85	128
401	86	128
402	86	127
403	86	127
404	86	127
405	86	127
406	87	127
407	87	126
408	87	126
409	87	126
410	88	126
411	88	126
412	88	125
413	88	125
414	88	125
415	89	125
416	89	124
417	89	124
418	89	124
